2018-04-08,40,11
2018-04-15,40,11
2018-04-22,39,11
2018-04-29,38,11
2018-05-06,40,10
2018-05-13,34,10
2018-05-20,34,11
2018-05-27,32,11
2018-06-03,35,11
2018-06-10,32,11
2018-06-17,33,11
2018-06-24,38,11
2018-07-01,32,12
2018-07-08,33,12
2018-07-15,35,12
2018-07-22,35,12
2018-07-29,31,12
2018-08-05,36,12
2018-08-12,35,12
2018-08-19,40,12
2018-08-26,45,12
2018-09-02,47,12
2018-09-09,47,11
2018-09-16,48,11
2018-09-23,55,12
2018-09-30,58,27
2018-10-07,59,17
2018-10-14,59,13
2018-10-21,65,12
2018-10-28,77,13
2018-11-04,100,12
2018-11-11,44,12
2018-11-18,32,13
2018-11-25,39,13
2018-12-02,38,14
2018-12-09,38,14
2018-12-16,33,13
2018-12-23,25,12
2018-12-30,27,14
2019-01-06,37,13
2019-01-13,39,13
2019-01-20,40,13
2019-01-27,37,13
2019-02-03,41,12
2019-02-10,40,14
2019-02-17,39,20
2019-02-24,40,12
